participant_id,experiment,num_correct,time,Age,Sex
0,control,27,514.0,23,Female
1,control,24,412.3,23,Male
2,control,19,229.9,24,Female
3,control,27,347.3,21,Female
4,control,23,526.6,41,Male
5,control,29,849.8,49,Male
6,control,18,411.7,22,Female
7,control,26,459.1,38,Male
8,control,24,512.7,29,Female
9,control,29,323.0,25,Male
10,control,25,473.0,21,Male
11,control,24,278.5,24,Male
12,control,20,414.4,22,Male
13,control,17,328.5,49,Male
14,control,18,335.0,22,Male
15,control,30,375.7,23,Female
16,control,26,630.4,36,Female
17,control,21,230.1,37,Female
18,control,15,287.6,26,Male
19,control,29,389.7,23,Female
20,control,18,541.0,49,Female
21,control,21,471.6,59,Male
22,control,18,514.9,20,Male
23,control,27,435.3,28,Male
24,control,24,728.4,25,Female
25,control,19,410.3,22,Male
26,control,26,370.2,24,Female
27,control,33,306.1,22,Female
28,control,24,617.4,22,Female
29,control,24,343.5,31,Male
30,control,14,596.7,22,Female
31,control,29,373.6,23,Female
32,control,22,484.2,22,Female
33,control,24,383.4,28,Male
34,control,25,502.1,19,Male
35,control,24,429.6,32,Female
36,control,24,405.0,26,Female
37,control,26,356.7,26,Male
38,control,14,612.0,49,Female
39,control,31,207.4,21,Male
40,control,25,429.3,20,Male
41,control,28,365.1,22,Female
42,control,25,340.2,35,Female
43,control,26,509.0,23,Female
44,control,19,910.5,23,Male
45,control,18,210.1,21,Male
46,control,30,398.4,31,Male
47,control,28,295.2,24,Female
48,control,32,465.4,30,Male
49,control,28,366.0,21,Male
50,topk,22,266.5,35,Female
51,topk,29,726.8,28,Female
52,topk,28,516.1,26,Female
53,topk,25,398.2,25,Male
54,topk,29,404.0,30,Male
55,topk,27,315.4,24,Male
56,topk,22,662.2,22,Male
57,topk,29,402.6,21,Male
58,topk,22,588.9,26,Male
59,topk,33,337.7,23,Male
60,topk,28,303.9,25,Female
61,topk,25,1146.3,21,Female
62,topk,30,290.3,23,Male
63,topk,28,269.6,32,Female
64,topk,40,1340.0,27,Male
65,topk,27,2566.1,21,Male
66,topk,24,446.5,69,Male
67,topk,29,265.4,40,Female
68,topk,27,195.2,26,Male
69,topk,30,846.7,33,Male
70,topk,29,311.6,24,Male
71,topk,32,298.0,33,Female
72,topk,28,273.8,22,Female
73,topk,29,542.2,29,Male
74,topk,20,291.0,31,Female
75,topk,33,391.8,38,Male
76,topk,30,584.3,25,Female
77,topk,28,729.6,33,Male
78,topk,34,1138.0,27,Female
79,topk,33,893.0,28,Female
80,topk,20,267.5,25,Male
81,topk,26,990.7,24,Male
82,topk,29,830.9,54,Female
83,topk,26,376.2,22,Female
84,topk,33,556.8,22,Female
85,topk,22,439.0,33,Female
86,topk,21,334.0,28,Male
87,topk,21,281.5,21,Male
88,topk,33,453.4,22,Female
89,topk,30,392.5,31,Male
90,topk,23,472.7,23,Female
91,topk,21,350.9,34,Female
92,topk,27,401.0,27,Female
93,topk,37,279.5,34,Male
94,topk,31,459.2,45,Female
95,topk,25,343.6,37,Female
96,topk,27,279.5,34,Female
97,topk,30,377.6,24,Male
98,topk,22,413.0,32,Male
99,topk,30,485.9,32,DATA_EXPIRED
100,conformal,31,455.9,28,Male
101,conformal,32,358.4,32,Male
102,conformal,33,270.6,28,Female
103,conformal,30,171.1,31,Female
104,conformal,27,238.2,25,Male
105,conformal,17,336.7,27,Female
106,conformal,31,425.2,21,Female
107,conformal,24,490.3,23,Female
108,conformal,27,354.1,22,Male
109,conformal,30,850.2,28,Male
110,conformal,34,381.4,19,Male
111,conformal,35,248.3,20,Male
112,conformal,31,882.5,25,Male
113,conformal,30,546.4,21,Female
114,conformal,32,325.5,42,Female
115,conformal,32,262.0,23,Female
116,conformal,24,487.6,52,Male
117,conformal,34,313.0,25,Male
118,conformal,30,695.3,21,Male
119,conformal,23,387.8,25,Male
120,conformal,27,1154.6,24,Male
121,conformal,31,402.6,22,Male
122,conformal,22,427.5,21,Female
123,conformal,29,549.7,35,Female
124,conformal,33,974.1,26,Female
125,conformal,33,377.9,31,Male
126,conformal,33,302.8,26,Male
127,conformal,29,667.2,30,Male
128,conformal,31,480.5,20,Female
129,conformal,23,500.9,28,Male
130,conformal,27,553.2,21,Female
131,conformal,25,491.9,42,Female
132,conformal,32,394.6,27,Male
133,conformal,33,303.7,23,Female
134,conformal,39,453.4,30,Male
135,conformal,32,205.3,26,Male
136,conformal,27,296.3,20,Male
137,conformal,33,528.8,26,Female
138,conformal,25,889.2,32,Female
139,conformal,29,360.0,28,Female
140,conformal,31,124.1,24,Male
141,conformal,23,1611.9,26,Male
142,conformal,32,570.6,30,Male
143,conformal,34,325.7,25,Female
144,conformal,29,489.4,33,Male
145,conformal,21,619.6,29,Female
146,conformal,31,316.4,28,Female
147,conformal,35,601.8,27,Female
148,conformal,32,274.3,26,Female
149,conformal,30,348.1,24,Male
150,conformal-large,28,298.4,21,Male
151,conformal-large,28,396.8,25,Female
152,conformal-large,33,509.8,26,Female
153,conformal-large,35,382.5,36,Male
154,conformal-large,25,386.8,28,Female
155,conformal-large,32,338.8,21,Male
156,conformal-large,31,366.0,22,Male
157,conformal-large,32,463.9,24,Male
158,conformal-large,36,657.9,22,Male
159,conformal-large,26,136.0,23,Male
160,conformal-large,27,651.4,21,Female
161,conformal-large,33,291.2,29,Male
162,conformal-large,23,767.0,60,Male
163,conformal-large,20,465.8,22,Male
164,conformal-large,35,360.0,29,Male
165,conformal-large,22,128.2,49,Male
166,conformal-large,23,529.7,25,Male
167,conformal-large,30,382.0,20,Female
168,conformal-large,36,479.3,25,Female
169,conformal-large,28,457.4,24,Male
170,conformal-large,27,320.3,53,Female
171,conformal-large,35,510.8,33,Male
172,conformal-large,34,414.4,54,Female
173,conformal-large,27,600.1,56,Female
174,conformal-large,32,388.3,52,Male
175,conformal-large,21,364.8,23,Female
176,conformal-large,22,490.0,34,Male
177,conformal-large,30,299.3,22,Female
178,conformal-large,28,1457.5,23,Male
179,conformal-large,31,284.2,28,Male
180,conformal-large,29,722.2,46,Female
181,conformal-large,33,345.9,25,Male
182,conformal-large,31,280.3,23,Female
183,conformal-large,24,779.8,24,Female
184,conformal-large,31,443.1,34,Male
185,conformal-large,30,311.1,41,Female
186,conformal-large,26,622.8,35,Female
187,conformal-large,32,410.7,22,Male
188,conformal-large,33,537.2,22,Male
189,conformal-large,29,628.0,41,Male
190,conformal-large,25,390.4,22,Male
191,conformal-large,28,555.0,75,Male
192,conformal-large,23,378.3,44,Female
193,conformal-large,33,308.0,26,Male
194,conformal-large,17,718.7,22,Female
195,conformal-large,28,434.5,24,Male
196,conformal-large,28,574.3,39,Male
197,conformal-large,24,339.0,22,Male
198,conformal-large,23,474.7,40,Female
199,conformal-large,26,352.6,22,Male
