participant_id,experiment,num_correct,time,Age,Sex
200,control,82,443.1,30,Female
201,control,80,643.9,46,Male
202,control,89,391.4,28,Female
203,control,83,364.7,25,Female
204,control,78,246.5,34,Male
205,control,88,435.5,22,Female
206,control,92,336.8,25,Male
207,control,70,325.7,28,Male
208,control,84,407.9,25,Female
209,control,82,498.2,26,Male
210,control,77,325.1,24,DATA_EXPIRED
211,control,89,247.3,26,Female
212,control,85,240.0,31,Male
213,control,91,367.8,25,Female
214,control,88,251.9,23,Male
215,control,88,364.7,21,Female
216,control,85,436.0,27,Male
217,control,87,249.3,23,Male
218,control,88,410.0,24,Female
219,control,89,395.7,23,Male
220,control,83,351.7,32,Male
221,control,85,453.7,40,Male
222,control,73,1010.0,29,Male
223,control,84,630.0,26,Male
224,control,86,470.4,39,Male
225,control,83,473.2,36,Male
226,control,86,350.5,22,Female
227,control,84,483.1,29,Female
228,control,80,323.8,21,Male
229,control,86,291.4,23,Male
230,control,86,482.6,24,Female
231,control,88,342.8,30,Male
232,control,96,412.1,21,Male
233,control,86,271.3,24,Male
234,control,84,370.8,23,Female
235,control,87,342.0,29,Female
236,control,89,323.8,49,Female
237,control,88,380.8,22,Female
238,control,90,281.7,19,Male
239,control,93,339.8,25,Male
240,control,85,308.4,25,Male
241,control,77,391.5,40,Male
242,control,88,220.8,23,Male
243,control,83,433.0,26,Male
244,control,85,359.3,30,Male
245,control,80,285.6,24,Male
246,control,79,456.9,27,Male
247,control,87,441.1,34,Male
248,control,84,415.9,30,Male
249,control,74,481.0,24,Male
250,topk,89,335.8,22,Female
251,topk,93,366.0,22,Male
252,topk,84,475.7,23,Female
253,topk,89,362.8,22,Female
254,topk,96,303.6,27,Male
255,topk,92,218.2,23,Male
256,topk,88,867.1,23,Male
257,topk,84,254.9,25,Male
258,topk,81,403.8,29,Female
259,topk,68,965.8,31,Male
260,topk,85,275.2,29,Male
261,topk,89,317.9,21,Female
262,topk,83,258.7,50,Male
263,topk,82,497.2,40,Female
264,topk,77,433.2,40,Male
265,topk,87,476.8,27,Male
266,topk,92,339.2,33,Female
267,topk,88,185.2,20,Male
268,topk,87,395.8,28,Female
269,topk,79,492.0,41,Male
270,topk,86,361.3,27,Female
271,topk,87,403.2,54,Female
272,topk,92,234.5,20,Male
273,topk,85,531.3,24,Male
274,topk,92,337.2,38,Male
275,topk,70,763.6,34,Male
276,topk,85,400.1,33,Male
277,topk,85,393.8,20,Female
278,topk,89,281.4,35,Female
279,topk,87,265.5,20,Male
280,topk,74,488.3,21,Female
281,topk,91,224.2,25,Male
282,topk,85,253.0,22,Male
283,topk,74,347.5,47,Male
284,topk,89,384.6,33,Male
285,topk,89,306.3,20,Male
286,topk,90,376.1,30,Male
287,topk,89,348.4,22,Male
288,topk,90,338.1,27,Male
289,topk,90,382.6,20,Female
290,topk,87,368.1,32,Male
291,topk,86,278.3,25,Female
292,topk,81,216.7,20,Male
293,topk,89,363.0,29,Female
294,topk,86,252.2,25,Male
295,topk,91,323.8,27,Female
296,topk,91,320.5,33,Male
297,topk,88,387.9,21,Female
298,topk,90,431.5,23,Male
299,topk,81,287.9,30,Male
300,conformal,86,424.2,21,Female
301,conformal,89,410.7,21,Female
302,conformal,90,522.1,22,Female
303,conformal,93,429.1,33,Female
304,conformal,89,278.8,30,Male
305,conformal,87,361.4,28,Female
306,conformal,98,333.0,26,Male
307,conformal,77,597.4,39,Female
308,conformal,91,347.2,30,Female
309,conformal,89,363.6,21,Male
310,conformal,85,349.8,24,Male
311,conformal,90,181.1,23,Male
312,conformal,88,411.4,25,Female
313,conformal,85,224.1,22,Male
314,conformal,86,233.2,27,Male
315,conformal,87,264.8,45,Female
316,conformal,93,213.5,23,Male
317,conformal,85,658.5,25,Male
